Hour,Electric Load (kW)
1091,1242.674
1092,1260.303
1093,1234.708
1094,1283.056
1095,1298.026
1096,1310.97
1097,1323.702
1098,1324.024
1099,967.252
1100,946.596
1101,769.49
1102,721.623
1103,601.9
1104,596.401
1105,578.845
1106,577.458
1107,576.217
1108,574.895
1109,709.47
1110,711.11
1111,999.137
1112,1139.804
1113,1184.447
1114,1222.502
1115,1242.191
1116,1258.266
1117,1231.995
1118,1274.842
1119,1277.732
1120,1277.859
1121,1278.241
1122,1276.316
1123,932.718
1124,916.212
1125,743.559
1126,701.633
1127,588.204
1128,588.464
1129,575.351
1130,574.746
1131,574.369
1132,574.065
1133,711.369
1134,714.855
1135,1012.239
1136,1143.404
1137,1179.912
1138,1218
1139,1234.234
1140,1252.981
1141,1228.962
1142,1274.937
1143,1283.323
1144,1290.462
1145,1293.585
1146,1285.43
1147,948.511
1148,930.792
1149,752.979
1150,708.264
1151,592.551
1152,589.756
1153,576.449
1154,575.327
1155,578.274
1156,583.895
1157,614.467
1158,611.457
1159,702.611
1160,823.791
1161,836.695
1162,959.874
1163,975.377
1164,986.026
1165,961.77
1166,959.879
1167,965.813
1168,881.287
1169,884.666
1170,830.503
1171,766.91
1172,753.478
1173,618.77
1174,617.948
1175,584.844
1176,585.81
1177,556.465
1178,556.348
1179,556.31
1180,556.296
1181,589.053
1182,588.67
1183,678.815
1184,670.408
1185,755.93
1186,749.389
1187,758.623
1188,761.674
1189,762.682
1190,758.405
1191,757.796
1192,755.65
1193,728.658
1194,680.161
1195,641.088
1196,633.071
1197,600.968
1198,600.252
1199,567.417
1200,570.211
1201,559.812
1202,561.606
1203,562.806
1204,563.935
1205,593.634
1206,591.821
1207,678.966
1208,671.498
1209,757.586
1210,751.15
1211,759.217
1212,760.542
1213,759.644
1214,752.098
1215,751.781
1216,751.383
1217,725.82
1218,678.68
1219,641.14
1220,634.67
1221,603.828
1222,604.087
1223,572.03
1224,573.763
1225,579.681
1226,583.616
1227,591.639
1228,602.358
1229,743.319
1230,737.247
1231,1007.073
1232,1141.26
1233,1178.568
1234,1210.52
1235,1217.804
1236,1219.242
1237,1177.834
1238,1211.493
1239,1211.814
1240,1212.169
1241,1219.216
1242,1224.686
1243,914.848
1244,907.018
1245,739.603
1246,700.202
1247,587.481
1248,587.372
1249,574.201
1250,576.898
1251,580.24
1252,583.407
1253,716.526
1254,717.037
1255,994.652
1256,1134.06
1257,1174.373
1258,1210.485
1259,1219.838
1260,1222.05
1261,1185.237
1262,1224.264
1263,1229.362
1264,1236.297
1265,1247.313
1266,1253.334
1267,940.227
1268,933.623
1269,763.233
1270,722.182
1271,608.923
1272,603.374
1273,586.174
1274,582.628
1275,578.906
1276,575.383
1277,707.406
1278,710.314
1279,993.341
1280,1138.399
1281,1180.553
1282,1215.08
1283,1226.327
1284,1233.139
1285,1197.611
1286,1237.876
1287,1243.529
1288,1249.16
1289,1258.993
1290,1266.619
1291,952.384
1292,944.993
1293,777.145
1294,737.625
1295,626.428
1296,624.681
1297,610.327
1298,609.461
1299,609.161
1300,608.805
1301,748.029
1302,754.484
1303,1038.549
1304,1180.004
1305,1213.725
1306,1240.432
1307,1246.569
1308,1249.753
1309,1210.117
1310,1241.995
1311,1240.284
1312,1237.595
1313,1244.711
1314,1253.168
1315,938.662
1316,928.37
1317,753.15
1318,708.239
1319,601.807
1320,611.376
1321,607.138
1322,608.78
1323,608.4
1324,607.696
1325,638.733
1326,641.308
1327,731.69
1328,853.245
1329,851.601
1330,961.851
1331,973.253
1332,988.112
1333,972.087
1334,966.856
